129,"[-0.8427279647225576, -32106.25, 38098.0, 0.28956523346547003, -0.6352938415536302, -23719.35628, 37336.04, 0.54020827345504]"
130,"[-0.914877168871328, -21302.0, 23284.0, 0.6124511737450746, -0.914877168871328, -21302.0, 23284.0, 0.6124511737450746]"
131,"[-0.6740682974880972, -16423.0, 24364.0, 0.7582605082777067, -0.45200864321676787, -10572.22904, 23389.440000000002, 0.9331113015100185]"
132,"[-0.7416133446758146, -20051.0, 27037.0, 0.6498374163153395, -0.532115657832464, -14099.074820000002, 26496.26, 0.8277112121103419]"
133,"[-0.5178225566150179, -13902.5, 26848.0, 0.833585867509004, -0.36708973545110646, -9067.175200000001, 24700.16, 0.9780899649341183]"
134,"[-0.49554496214880744, -15644.85, 31571.0, 0.7815155879388193, -0.33562230015830585, -9960.17574, 29676.739999999998, 0.951402567009404]"
135,"[-0.5942770122453724, -8726.957924823295, 14685.0, 0.9882573874571804, -0.36889272108892973, -5200.502024823296, 14097.6, 1.0936458252595322]"
136,"[-0.5853077749098697, -9847.803312858558, 16825.0, 0.9547608266571412, -0.37262017847945883, -6143.947812858557, 16488.5, 1.0654508667596274]"
137,"[-0.8270815183571874, -33228.0, 40175.0, 0.25604163825907933, -0.6397444064869258, -25187.6969, 39371.5, 0.4963267877675154]"
138,"[-0.809366573111001, -29414.0, 36342.0, 0.370023356215107, -0.6420842582765318, -22867.933592, 35615.159999999996, 0.5656531136975619]"
139,"[-0.8850130091409362, -38437.0, 43431.0, 0.10037022535059792, -0.6989357236132002, -29748.367864, 42562.38, 0.36003074384803635]"
140,"[-0.5191738382099828, -7541.0, 14525.0, 1.0236998420179892, -0.3051365696020233, -4343.4665, 14234.5, 1.1192584056131518]"
141,"[-0.7286428267017938, -18807.0, 25811.0, 0.6870144632836925, -0.5088571111477018, -12608.746459999998, 24778.559999999998, 0.8722498032984357]"
142,"[-0.9191545357348466, -22352.0, 24318.0, 0.5810718334582814, -0.9191545357348466, -22352.0, 24318.0, 0.5810718334582814]"
143,"[-0.8875938139640664, -15611.0, 17588.0, 0.7825271980994934, -0.8875938139640664, -15611.0, 17588.0, 0.7825271980994934]"
144,"[-0.688528682857864, -17611.8751788213, 25579.0, 0.7227308713303203, -0.46707154464360834, -11469.334118821303, 24555.84, 0.9063012390896908]"
145,"[-0.6990377393916636, -18615.375, 26630.0, 0.6927411928860323, -0.5091038157057791, -13286.28592, 26097.4, 0.8520014782764641]"
146,"[-0.5038038659336762, -14204.75, 28195.0, 0.8245531002693056, -0.30986925095273077, -8562.02826, 27631.1, 0.9931863246723014]"
147,"[-0.6115456971910059, -12593.560542254385, 20593.0, 0.8727036357560612, -0.37383584807553816, -7236.497522254384, 19357.420000000002, 1.0327999247488]"
148,"[-0.70403619606823, -18944.91, 26909.0, 0.6828930110751672, -0.49377162864105095, -13021.16274, 26370.82, 0.859924707308023]"
